question_text,question_type,options,correct_answers,marks,explanation
What is the output of print(2 ** 3)?,MCQ,A) 6 B) 8 C) 9 D) 5,8,1,"The ** operator in Python represents exponentiation, so 2 ** 3 = 8."
Which of the following is a mutable data type in Python?,MCQ,A) Tuple B) String C) List D) Int,List,1,"Lists are mutable, meaning their contents can be changed after creation."
What is the correct file extension for Python files?,MCQ,A) .pyth B) .pt C) .py D) .python,.py,1,Python source files use the .py extension.
Which function is used to get input from the user in Python 3?,MCQ,A) get() B) scan() C) input() D) raw_input(),input(),1,"In Python 3, input() is used to read user input from the console."
Which keyword is used to define a function in Python?,MCQ,A) define B) def C) func D) function,def,1,Functions in Python are defined using the 'def' keyword.
Which of the following is used to define a block of code in Python?,MCQ,A) Brackets B) Indentation C) Parentheses D) Key symbols,Indentation,1,"The correct answer is Indentation, as it is the right concept for the question."
Which data type is immutable in Python?,MCQ,A) List B) Dictionary C) Tuple D) Set,Tuple,1,"The correct answer is Tuple, as it is the right concept for the question."
What will be the output of type(3.14)?,MCQ,A) int B) float C) str D) complex,float,1,"The correct answer is float, as it is the right concept for the question."
Which keyword is used to create a class in Python?,MCQ,A) def B) function C) class D) object,class,1,"The correct answer is class, as it is the right concept for the question."
Which of these functions converts a string to lowercase?,MCQ,A) down() B) lower() C) tolower() D) lowercase(),lower(),1,"The correct answer is lower(), as it is the right concept for the question."
What is the output of bool('False')?,MCQ,A) False B) True C) 0 D) Error,True,1,"The correct answer is True, as it is the right concept for the question."
Which of the following is used to handle exceptions?,MCQ,A) do-catch B) try-except C) error-handling D) raise,try-except,1,"The correct answer is try-except, as it is the right concept for the question."
"What will len([1,2,3,4]) return?",MCQ,A) 3 B) 4 C) 5 D) Error,4,1,"The correct answer is 4, as it is the right concept for the question."
Which operator is used for floor division?,MCQ,A) / B) // C) % D) **,//,1,"The correct answer is //, as it is the right concept for the question."
Which method is used to add an element to a list?,MCQ,A) add() B) insert() C) append() D) extend(),append(),1,"The correct answer is append(), as it is the right concept for the question."
What does the 'break' keyword do in Python loops?,MCQ,A) Skips iteration B) Exits the current loop C) Stops program D) None,Exits the current loop,1,"The correct answer is Exits the current loop, as it is the right concept for the question."
Which function returns the absolute value of a number?,MCQ,A) absolute() B) fabs() C) abs() D) value(),abs(),1,"The correct answer is abs(), as it is the right concept for the question."
What is the output of 10 % 3?,MCQ,A) 0 B) 1 C) 2 D) 3,1,1,"The correct answer is 1, as it is the right concept for the question."
Which statement is used to skip the rest of the code in the current iteration?,MCQ,A) pass B) break C) continue D) skip,continue,1,"The correct answer is continue, as it is the right concept for the question."
How do you start a comment in Python?,MCQ,A) // B) # C) /* D) <!-,#,1,"The correct answer is #, as it is the right concept for the question."
What does the 'pass' statement do?,MCQ,A) Skips code B) Ends loop C) Does nothing D) Raises error,Does nothing,1,"The correct answer is Does nothing, as it is the right concept for the question."
Which function can be used to find the length of a string?,MCQ,A) length() B) size() C) len() D) count(),len(),1,"The correct answer is len(), as it is the right concept for the question."
What will be the output of 3 * 'ab'?,MCQ,A) 'ab3' B) 'ababab' C) Error D) '3ab','ababab',1,"The correct answer is 'ababab', as it is the right concept for the question."
Which built-in function is used to open a file?,MCQ,A) openfile() B) open() C) fileopen() D) fopen(),open(),1,"The correct answer is open(), as it is the right concept for the question."
Which method removes whitespace from the beginning and end of a string?,MCQ,A) trim() B) strip() C) remove() D) cut(),strip(),1,"The correct answer is strip(), as it is the right concept for the question."
What is the output of list(range(3))?,MCQ,"A) [1,2,3] B) [0,1,2] C) [1,2] D) Error","[0, 1, 2]",1,"The correct answer is [0, 1, 2], as it is the right concept for the question."
What is used to represent a null value in Python?,MCQ,A) null B) 0 C) None D) undefined,None,1,"The correct answer is None, as it is the right concept for the question."
Which module is used for mathematical operations?,MCQ,A) random B) math C) os D) sys,math,1,"The correct answer is math, as it is the right concept for the question."
Which method is used to get dictionary keys?,MCQ,A) getkeys() B) keys() C) keylist() D) items(),keys(),1,"The correct answer is keys(), as it is the right concept for the question."
Which function is used to convert an integer to a string?,MCQ,A) int() B) string() C) str() D) convert(),str(),1,"The correct answer is str(), as it is the right concept for the question."
What does the 'is' keyword do?,MCQ,A) Compares values B) Compares object identity C) Checks membership D) Assigns value,Compares object identity,1,"The correct answer is Compares object identity, as it is the right concept for the question."
Which of these is a Python tuple?,MCQ,"A) [1,2,3] B) (1,2,3) C) {1,2,3} D) None","(1, 2, 3)",1,"The correct answer is (1, 2, 3), as it is the right concept for the question."
What is the output of bool(0)?,MCQ,A) True B) False C) 1 D) 0,False,1,"The correct answer is False, as it is the right concept for the question."
Which method returns the number of occurrences of a substring?,MCQ,A) find() B) count() C) index() D) locate(),count(),1,"The correct answer is count(), as it is the right concept for the question."
What is used to define a constant value in Python?,MCQ,A) const B) define C) There is no built-in constant type D) final,There is no built-in constant type,1,"The correct answer is There is no built-in constant type, as it is the right concept for the question."
Which of these functions is used to get the maximum value?,MCQ,A) max() B) maximum() C) top() D) high(),max(),1,"The correct answer is max(), as it is the right concept for the question."
Which keyword is used to import modules?,MCQ,A) use B) import C) include D) require,import,1,"The correct answer is import, as it is the right concept for the question."
What is the default data type of input()?,MCQ,A) int B) str C) float D) list,str,1,"The correct answer is str, as it is the right concept for the question."
Which of these creates an empty dictionary?,MCQ,A) [] B) {} C) set() D) dict(),{},1,"The correct answer is {}, as it is the right concept for the question."
Which function returns a sequence of numbers?,MCQ,A) list() B) range() C) numbers() D) seq(),range(),1,"The correct answer is range(), as it is the right concept for the question."
Which statement can be used to exit from a function?,MCQ,A) break B) stop C) return D) end,return,1,"The correct answer is return, as it is the right concept for the question."
Which keyword is used to create an anonymous function?,MCQ,A) def B) lambda C) func D) anon,lambda,1,"The correct answer is lambda, as it is the right concept for the question."
Which method is used to combine two lists?,MCQ,A) add() B) combine() C) extend() D) append(),extend(),1,"The correct answer is extend(), as it is the right concept for the question."
Which of these is a Python package manager?,MCQ,A) npm B) pip C) gem D) brew,pip,1,"The correct answer is pip, as it is the right concept for the question."
Which of these is not a core data type?,MCQ,A) List B) Dictionary C) Tuple D) Class,Class,1,"The correct answer is Class, as it is the right concept for the question."
Which function can be used to get the data type of a variable?,MCQ,A) datatype() B) type() C) typeof() D) instance(),type(),1,"The correct answer is type(), as it is the right concept for the question."
